NON.COURSES.ID,NCRS.DESC,NCRS.SHORT.TITLE,NCRS.CAT.DESC.CC,NCRS.DESIRED.GRADES,NCRS.GRADE.SCHEME,NCRS.DESIRED.SCORE,NCRS.COURSE.EQUIVS,NCRS.MIN.SCORE,NCRS.MAX.SCORE,NCRS.TYPE,DataDatetime
WVRCOLMATH,Criteria for Direct Placement into MAT 271,College Level Math PT WVR,Other Test,,,9999,331923,9999,9999,,2017-08-24T22:02:56.270Z
DMAW5080,,WAIVER DMA 050 - DMA 080,Other Test,,,8888,322861,8888,8888,TEST,2017-08-24T22:02:56.270Z
TPBUSLAW,HS Course ID 6215,Tech Prep Business Law 6215,Other Test,,,93,317142,0,100,TEST,2017-08-24T22:02:56.270Z
DMA030,Diagnostic Test for DMA 030 Propor/Ratio/Rate/Pero,DMA030 Propor/Ratio/Rate/Pero,Other Test,,,7,321315,1,12,TEST,2017-08-24T22:02:56.270Z
HOAE,,HOAE,Admissions,,,0,,0,25,TEST,2017-08-24T22:02:56.270Z
WINRI,WIN Pre-Test Reading for Information,WIN Reading for Information,Other Test,,,0,,0,0,TEST,2017-08-24T22:02:56.270Z
TPCOMPII,HS Course ID 6412,Tech Prep Comp App II,Other Test,,,80,263807,0,100,TEST,2017-08-24T22:02:56.285Z
NCCTR,NC Competency Test in Reading,Reading Comp Test,Other Test,,,0,,0,0,TEST,2017-08-24T22:02:56.285Z
TPBUSINESS,,Tech Prep Business & Finance,Other Test,,,80,262999,80,100,TEST,2017-08-24T22:02:56.285Z
WPTRI,WIN POST TEST Reading for Information,WIN POST Reading for Info,Other Test,,,0,,0,0,TEST,2017-08-24T22:02:56.285Z
TPALHLTHII,,Tech Prep Allied Health II,Other Test,,,80,262354,80,100,TEST,2017-08-24T22:02:56.285Z
SAT16WR,SAT 2016 Evidence-Based Reading & Writing,DO NOT USE!!!!!!!,Placement,,,480,332280,200,800,TEST,2017-08-24T22:02:56.285Z
TPMETALS,,Tech Prep Metals Manufact I,Other Test,,,80,262997,80,100,TEST,2017-08-24T22:02:56.285Z
DREWALL,,WAIVER DRE 096 097 098,Placement,,,8888,322859,8888,8888,TEST,2017-08-24T22:02:56.285Z
HESI,,HESI Exam,Admissions,,,0,,0,100,TEST,2017-08-24T22:02:56.285Z
TPMASON,,"Tech Prep Mason I, II",Other Test,,,80,263810,0,100,TEST,2017-08-24T22:02:56.285Z
PSATWS,,PSAT Writing Skills,Placement,,,45,316430,20,80,TEST,2017-08-24T22:02:56.285Z
DMA050,Diagnostic test for DMA 050 Graphs/EquationsofLine,DMA050 Graphs/EquationsofLine,Other Test,,,7,321323,1,12,TEST,2017-08-24T22:02:56.285Z
CLEPANLIT,Analyzing and Interpreting Literature,CLEP Analyzing/Interpret Lit,Other Test,,,50,330808,0,100,TEST,2017-08-24T22:02:56.285Z
TPAGMECH,,Tech Prep Ag Mechanics,Other Test,,,80,263809,0,100,TEST,2017-08-24T22:02:56.285Z
ACTR,,ACT Reading,Placement,,,22,"316434, 331919",1,36,TEST,2017-08-24T22:02:56.285Z
APWHIS,,AP World History,Other Test,,,3,316668,1,5,TEST,2017-08-24T22:02:56.285Z
ASTN,Math Placement Test,ASSET Numerical,Placement,,,0,262279,23,55,TEST,2017-08-24T22:02:56.285Z
LPN,,LPN License,Other Test,,,9999,328024,9999,9999,CERT,2017-08-24T22:02:56.285Z
12TPMSXAC,HS Course ID 6419,Tech Prep MS Ex/Acc 6419,Other Test,,,93,321791,0,100,TEST,2017-08-24T22:02:56.285Z
APPHYCEM,,AP Physics-C Elec. & Magnet.,Other Test,,,4,263812,1,4,TEST,2017-08-24T22:02:56.285Z
DMA070,Diagnostic test for DMA 070 Rational Expressions,DMA070 Rational Expressions,Other Test,,,7,321325,1,12,TEST,2017-08-24T22:02:56.285Z
12HEASCIII,HS Course ID 7242,Tech Prep Health Sci II 7242,Other Test,,,93,321796,0,100,TEST,2017-08-24T22:02:56.285Z
COMW,English Placement Test,COMPASS Writing,Placement,,,0,262282,0,100,TEST,2017-08-24T22:02:56.285Z
12TPDRAFT,HS Course ID 7921,Tech Prep Drafting I 7921,Other Test,,,93,321797,0,100,TEST,2017-08-24T22:02:56.285Z
TPDRAFTIII,,"TechPrep Draft Arch I,II,III",Other Test,,,80,263008,0,100,TEST,2017-08-24T22:02:56.285Z
ACTRN,ACT Reading No Credits,ACTR NO Credits,Placement,,,0,,0,0,TEST,2017-08-24T22:02:56.301Z
PACTM,,Pre ACT Math,Placement,,,22,334803,1,36,TEST,2017-08-24T22:02:56.301Z
ACA_115,30+ hours coursework,ACA-115 Success & Study Skill,Other Test,,,0,338633,5555,5555,TEST,2017-08-24T22:02:56.301Z
APUSHIS,Advanced Placement US History,AP US History,Other Test,,CU,3,262347,1,5,TEST,2017-08-24T22:02:56.301Z
CLEPHISI,History of US I,CLEP US History I,Other Test,,,50,264102,20,80,TEST,2017-08-24T22:02:56.301Z
PTWSS,,Sent Skills Waiver,Placement,,,9999,13,9999,9999,TEST,2017-08-24T22:02:56.301Z
SATC,SAT Composite Score,SAT Composite,Placement,,,0,,400,1600,TEST,2017-08-24T22:02:56.301Z
PTBIO,Biology Placement Test for A & P,Biology Placement Test,Placement,,CU,60,262475,0,100,TEST,2017-08-24T22:02:56.301Z
TPCARPIII,HS Course ID 7723,Tech Prep Carpentry III 7723,Other Test,,,93,321789,0,100,TEST,2017-08-24T22:02:56.301Z
SATWN,SAT Writing No Credit,SATW NO Credit,Placement,,,0,332552,0,0,TEST,2017-08-24T22:02:56.301Z
SATV,SAT Verbal Score,SAT Verbal,Placement,,,0,3,300,800,TEST,2017-08-24T22:02:56.301Z
TPWELD7662,HS Course ID 7662,Tech Prep Welding II 7662,Other Test,,,93,321794,0,100,TEST,2017-08-24T22:02:56.301Z
PSATRN,,PSAT Reading No Credit,Placement,,,0,,0,50,,2017-08-24T22:02:56.301Z
WVRDMA030,WVR DMA 030,WVRDMA030,Placement,,,0,329940,0,0,,2017-08-24T22:02:56.301Z
DMAW10,Waiver DMA 010; completed DMA 010 at another CC,DMA 010 Waiver,Other Test,,,5555,321327,5555,5555,TEST,2017-08-24T22:02:56.301Z
TPCONSTI,HS Course ID 7721,Tech Prep Construction I,Other Test,,,80,262355,80,100,TEST,2017-08-24T22:02:56.301Z
PSATR,,PSAT Reading,Placement,,,0,"315583, 337968",0,100,TEST,2017-08-24T22:02:56.301Z
CPTAR,Math Placement Test,CPT Arithmetic,Placement,,,0,7,1,120,TEST,2017-08-24T22:02:56.301Z
TPCAREER,HS Course ID 6145,Tech Prep Career Mngt 6145,Other Test,,,93,321790,0,100,TEST,2017-08-24T22:02:56.301Z
EDUCRED,,Early Childhood Credentials,Other Test,,,9999,328025,9999,9999,TEST,2017-08-24T22:02:56.301Z
TPWELDII,HS Course ID 7661 and 7662,Tech Prep Weld I&II 7661&7662,Other Test,,,93,315073,1,100,TEST,2017-08-24T22:02:56.301Z
WINAM,WIN Pre-Test Applied Mathematics,WIN Applied Mathematics,Other Test,,,0,,0,0,TEST,2017-08-24T22:02:56.301Z
COLLVLMAT,,College Level Math PT,Placement,,,0,330458,1,140,TEST,2017-08-24T22:02:56.301Z
WVRDMA050,WVR DMA 050,WVRDMA050,Placement,,,0,329941,0,0,,2017-08-24T22:02:56.301Z
TPHORT,,Tech Prep Hort I & II,Other Test,,,80,262360,80,100,TEST,2017-08-24T22:02:56.317Z
HSGPA,Non Course for HS GPA,HSGPA,High School GPA,44,HSGPA,0,327997,0,0,HSGPA,2017-08-24T22:02:56.317Z
ACTNS,ACT Natural Science Admissions Test,ACT Natural Science,Placement,,,0,,1,36,TEST,2017-08-24T22:02:56.317Z
DMAW30,DMA 030 Waiver; completed DMA 030 at another CC,DMA 030 Waiver,Other Test,,,5555,321329,5555,5555,TEST,2017-08-24T22:02:56.317Z
NCCTW,NC Competency Test in Writing,Writing Comp Test,Other Test,,,0,,0,0,TEST,2017-08-24T22:02:56.317Z
WPTAM,POST TEST - Applied Mathematics,WIN POST Applied Mathematics,Other Test,,,0,,0,0,TEST,2017-08-24T22:02:56.317Z
ACTEN,ACT ENG No Credits,ACTE NO Credits,Placement,,,0,,0,0,TEST,2017-08-24T22:02:56.317Z
CLEPGOVT,American Government,CLEP American Government,Other Test,,,47,264104,20,80,TEST,2017-08-24T22:02:56.317Z
APSPA,AP Spanish,AP Spanish,Other Test,,,3,264109,1,5,TEST,2017-08-24T22:02:56.317Z
DMAW50,DMA 050 Waiver; completed DMA 050 at another CC,DMA 050 Waiver,Other Test,,,5555,321331,5555,5555,TEST,2017-08-24T22:02:56.317Z
BLET,,BLET Certification,Other Test,,,0,328023,9999,9999,CERT,2017-08-24T22:02:56.317Z
CPTRCSS,,CPT Reading and English,Placement,,,0,321312,0,240,TEST,2017-08-24T22:02:56.317Z
APECON,Advanced Placement - Economics,AP Economics (Micro),Other Test,,,0,263005,1,5,,2017-08-24T22:02:56.317Z
DREEDIT,,DRE Revising & Editing,Other Test,,,0,,100,200,TEST,2017-08-24T22:02:56.317Z
ACTC,ACT Composite Score,ACT Composite,Placement,,,21,2,21,36,TEST,2017-08-24T22:02:56.317Z
TPSPMKTI,HS Course ID 6670,Tech Prep Sports/Ent Mkt I,Other Test,,,93,317131,0,100,TEST,2017-08-24T22:02:56.317Z
CRCLI,,CRC Locating Information,Other Test,,,0,,0,0,TEST,2017-08-24T22:02:56.317Z
TOEFLP,Test of English as a Foreign Language (Paper Vers),TOEFLP,Admissions,,,0,262275,550,0,TEST,2017-08-24T22:02:56.317Z
PTWAREA,,DO NOT USE PTWaivArith&ElAlg,Placement,,,0,315188,7777,7777,TEST,2017-08-24T22:02:56.317Z
APENVSCI,,AP Environmental Science,Other Test,,,3,264041,1,5,TEST,2017-08-24T22:02:56.317Z
ASTR,Reading Placement Test,ASSET Reading,Placement,,,0,262278,23,55,TEST,2017-08-24T22:02:56.317Z
PSATEN,,PSAT English No Credit,Placement,,,0,,0,50,,2017-08-24T22:02:56.317Z
CLEPENGLIT,Analyzing & Interpreting Literature,CLEP English Literature,Other Test,,,50,264105,20,80,TEST,2017-08-24T22:02:56.332Z
APPSY,Advanced Placement Psychology,AP Psychology,Other Test,,CU,3,262348,1,5,TEST,2017-08-24T22:02:56.332Z
CLEPHISII,History of the US II,CLEP US History II,Other Test,,,50,264103,20,80,TEST,2017-08-24T22:02:56.332Z
TPDFTENG,HS Course ID 7972,Tech Prep Draft II Engineer,Other Test,,,93,317133,0,100,,2017-08-24T22:02:56.332Z
DMAW70,DMA 070 Waiver; completed DMA 070 at another CC,DMA 070 Waiver,Other Test,,,5555,321333,5555,5555,TEST,2017-08-24T22:02:56.332Z
SAT16RWN,SAT 2016 NO Credits,SAT16RW NO Credits,Placement,,,0,332549,0,0,TEST,2017-08-24T22:02:56.332Z
CHAL,,Challenge Exam,Other Test,,,85,,0,100,TEST,2017-08-24T22:02:56.332Z
HGPAE,,GPA Eng,High School GPA,44,HSGPA,0,331848,0,0,HSGPA,2017-08-24T22:02:56.332Z
DMAW1040,,WAIVER DMA 010 - DMA 040,Other Test,,,8888,322860,8888,8888,TEST,2017-08-24T22:02:56.332Z
PLANM,,PLAN Mathematics,Placement,,,19,316433,1,32,TEST,2017-08-24T22:02:56.332Z
APCIS,,AP Computer Science,Other Test,,,3,315585,1,4,TEST,2017-08-24T22:02:56.332Z
