COURSE.SECTIONS.ID,SEC.TERM,SEC.COURSE,SEC.NAME,SEC.NO,SEC.USER1,SEC.USER6,SEC.LOCATION,SEC.LOCATION.DESC.CC,SEC.CAPACITY,SEC.EVERY.STUDENT.COUNT,SEC.STUDENTS.COUNT,SEC.AUDIT.STUDENT.COUNT,SEC.ACAD.LEVEL,SEC.CRED.TYPE,SEC.MIN.CRED,SEC.MAX.CRED,SEC.BILLING.CRED,XSEC.FTE.COUNT,XSEC.FTE.CONTACT,SEC.CEUS,SEC.CONTACT.HOURS,SEC.COURSE.LEVELS,SEC.STATUS.ACTION1,SEC.STATUS,DataDatetime
27785,2017SP,S24022,ENG-111-INA1,INA1,IN,,OL,Online Cu Classes,20,24,24,0,CU,IN,3,0,3,13,48,0,3,"CAA, AAS, DIP, CER",1,A,2018-03-03T02:06:29.322Z
27786,2017SP,S24024,ENG-112-01,1,TR,,MC,Main Campus,20,27,27,0,CU,IN,3,0,3,18,48,0,3,"CAA, AAS, DIP, CER",1,A,2018-03-03T02:06:29.322Z
27787,2017SP,S12230,AUB-121-TY1,TY1,HY,,MC,Main Campus,20,11,11,0,CU,IN,3,0,3,11,80,0,"1.00, 4.00","AAS, DIP, CER",1,A,2018-03-03T02:06:29.322Z
27788,2017SP,S10839,AUB-131-TY1,TY1,HY,,MC,Main Campus,20,11,11,0,CU,IN,4,0,4,11,96,0,"2.00, 4.00","AAS, DIP, CER",1,A,2018-03-03T02:06:29.338Z
27789,2017SP,S21692,AUT-151-PY1,PY1,HY,,HS,High School,20,19,19,0,CU,IN,3,0,3,14,80,0,"2.00, 3.00","AAS, DIP, CER",1,A,2018-03-03T02:06:29.338Z
27791,2017SP,S21701,AUT-181-PY1,PY1,HY,,HS,High School,20,19,19,0,CU,IN,3,0,3,14,80,0,"2.00, 3.00","AAS, DIP, CER",1,A,2018-03-03T02:06:29.353Z
27792,2017SP,S21701,AUT-181-TY1,TY1,HY,,MC,Main Campus,20,15,15,0,CU,IN,3,0,3,15,80,0,"2.00, 3.00","AAS, DIP, CER",1,A,2018-03-03T02:06:29.353Z
27793,2017SP,S21692,AUT-151-TY1,TY1,HY,,MC,Main Campus,20,15,15,0,CU,IN,3,0,3,15,80,0,"2.00, 3.00","AAS, DIP, CER",1,A,2018-03-03T02:06:29.369Z
27794,2017SP,S22950,MAC-174-T01,T01,WB,,HTC,Regional High Technology Cente,20,6,6,0,CU,IN,2,0,2,6,64,0,"1.00, 3.00","AAS, DIP, CER",1,A,2018-03-03T02:06:29.369Z
27795,2017SP,S23466,BPR-111-T01,T01,WB,,HTC,Regional High Technology Cente,20,6,6,0,CU,IN,2,0,2,6,48,0,"1.00, 2.00","AAS, DIP, CER",1,A,2018-03-03T02:06:29.384Z
