"ids","Alternate Dictionaries ","Computed Column Code ","Converted From ","Data Element Synonym ","Data Element Synonym Xref ","Data Type ","Database Usage Type ","Default Display Secure ","Default Display Size ","Default Input Processing ","Default Input Prompt ","Default Justification ","Default Mask ","Default Output Processing ","Default Sample Data ","Default Zero Pad ","Derived Sec Ptr ","Displayed By Xref ","Dt1 ","Dt2 ","Dt3 ","Dt4 ","Dt5 ","Element Assoc Name ","Element Assoc Type ","Element Pointed From ","Element Pointed To ","Field Placement ","I Descriptor ","Index Assn Name ","Index Assn Placement ","Inform Conversion String ","Inform Format String ","Input Prompt Location ","Input Prompt Variable ","Internal Computations ","Just Pad Character ","Key Counter Source ","Logical File Alias ","Lookup Prompt ","Maximum Storage Size ","Modified By Xref ","Permanent Demand Elements ","Permanent Demand Keys ","Permanent Demand Write ","Permanent Init Inserts ","Pointer Deletion Strategy ","Purpose ","Relation File Name ","Relfile Keybuild Strategy ","Report Header ","Sce From Files ","Sce Link Attrs ","Sce Link Subrs ","Sce Recalc Flag Field ","Sce Status Flag ","Sce Subr Args ","Sce Subr Name ","Sce Subr Sources ","Sce To Files ","Sce Trigger Cdds ","Snapshots ","Source ","Sql Compliant Name ","Synonym Field Delimiter ","Synonym Field Position ","Toolcdd Add Date ","Toolcdd Add Operator ","Toolcdd Auto Xref Files ","Toolcdd Auto Xref Keys ","Toolcdd Change Date ","Toolcdd Change Operator ","Toolcdd Demand Subrs ","Toolcdd Dict Changed Ver ","Toolcdd Idesc Smtype ","Toolcdd Lkup Add Mode ","Toolcdd Lkup Arg Var ","Toolcdd Lkup Attr Table ","Toolcdd Lkup Crnt Id Var ","Toolcdd Lkup File Inherit ","Toolcdd Lkup File Name ","Toolcdd Lkup Id List Var ","Toolcdd Lkup Limit New Size ","Toolcdd Lkup Nk Add Option ","Toolcdd Lkup Nk At Once ","Toolcdd Lkup Not Found Hook ","Toolcdd Lkup Post Reso Hook ","Toolcdd Lkup Pre Reso Hook ","Toolcdd Lkup Prompt Text ","Toolcdd Lkup Rec Add Hook ","Toolcdd Lkup Rec Found Hook ","Toolcdd Lkup Reso Hook ","Toolcdd Lkup Sel Conn ","Toolcdd Lkup Sel Field ","Toolcdd Lkup Sel Rel Opcode ","Toolcdd Lkup Sel Stmt ","Toolcdd Lkup Sel Value ","Toolcdd Lkup Sort Fields ","Toolcdd Lkup Sort Order ","Toolcdd Valid Platforms ","Truncation Flag ","Validation Table ","Validation Zero Fill Size ","Views "
"HASHFILE.ALGORITHM","","","","","","","D","N","2","","Hash Algorithm","R","","","3","N","","","","","","","","","","","","73","","","","","2R","","","","","","","","2","","","","","","","Port specific spec (PR1ME-old) file types 2-17","","","","","","","","","","","","","","","TOOLFILE","HASHFILE_ALGORITHM","","0","1991-01-14","RGH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0","TOOLFILE_SQL"
"HELP.TYPE","","","","","","","P","","10","$UC","","L","","","P","","","","","","","","","","","","","0","","","","","10L","","","","","","","","0","","","","","","","Defines the Type of Help Record., P = Process, F = Field, S = Synonym","","","Help Message Type","","","","","","","","","","","","","","","0","1988-04-01","VPN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",""
"HELP.VERIFILE","","","","","","","P","","20","$UC","","L","","","PERSON","","","","","","","","","","","","","0","","","","","20L","","","","","","","","0","","","","","","","If valid codes are to be shown from a verification file,, this field contains the name of that file.","","","","","","","","","","","","","","","","","","0","1988-04-01","VPN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",""
"HIGHEST.FIELD.NUMBER","","","","","","N","D","N","3","","Highest Field Number","R","","","","N","","","N","0","N","N","","","","","","9","","","","MD0","3R","","","","","","","","0","","","","","","","Position of the highest field assigned to this file","","","","","","","","","","","","","","","TOOLFILE","HIGHEST_FIELD_NUMBER","","0","1987-08-21","RGH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0","TOOLFILE_SQL"
"I.DESC.DEFINITION","","","","","","","L","","40","","Virtual Field BASIC Code","L","","","TRANS(filename,@ID,1,'X')","","","","","","","","","","","","","45","","","","","40L","","","","","","","","39","","","","","","","PR1ME Information descriptor definition","","","I_Descriptor","","","","","","","","","","","","TOOLCID","I_DESC_DEFINITION","","0","1988-06-22","SKIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","TOOLCID_SQL"
"I.DESC.LIST","","","","","","","Q","N","20","","Virtual Field Name","L","","","","N","","","","","","","","","","IDESC.SOURCE","IDESC.ELEMENT","34","","","","","20L","","","","","","","","27","","","","","","D","List of PR1ME Information descriptors for the INFO, dictionary of this file.","","","","","","","","","","","","","","","TOOLFILE","I_DESC_LIST","","0","1988-06-22","SKIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0","TOOLFILE_SQL"
"I.DESCRIPTOR","","","","","","","T","","72","","Virtual Field BASIC Code","L","","","","","","","","","","","","","","","","45","","","","","72L","","","","","","","","72","","","","","","","INFO-BASIC code to be used when this is an I-Descriptor","","","","","","","","","","","","","","","TOOLCDD","I_DESCRIPTOR","","0","1988-07-05","RGH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0","TOOLCDD_SQL"
"IDESC.CC.CODE","","","","","","","H","","72","","Computed Column Code","L","","","int x; x = 1; return x;","N","","","","","","","","","","","","106","","","","","72L","","","","","","","","72","","","","","","","Stores the code of the computed column language","","","","","","","","","","","","","","","TOOLCID","","","0","2005-10-09","RSF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",""
"IDESC.DB.USAGE.TYPE","","","","","","","D","","15","","DB Usage Type","L","","","","","","","","","","","","","","","","4","","","","","1L","","","","","","","","0","","","","","","","The way this element is used in the database structure","","","","","","","","","","","","","","","TOOLCID","IDESC_DB_USAGE_TYPE","","0","1989-12-07","CONNIE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","$VR.DATABASE.USAGE.TYPES","1","TOOLCID_SQL"
"IDESC.ELEMENT","","","","","","","K","","28","$UC","Data Element LookUp","L","","","","","","","","","","","","","","","","0","","","","","28L","","","","","","","","28","","","","","","","Name of a I_Descriptor element in an application (a CDD entry)","","","","","","","","","","","","","","","TOOLCID","IDESC_ELEMENT","","0","1989-12-07","CONNIE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","0","TOOLCID_SQL"
"IDESC.PURPOSE","","","","","","","L","","59","","Purpose","L","","","Brief description of a data element's use/purpose.","","","","","","","","","","","","","10","","","","","59L","","","","","","","","80","","","","","","","Brief description of a data element's use/purpose","","","","","","","","","","","","","","","TOOLCID","IDESC_PURPOSE","","0","1989-12-07","CONNIE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0","TOOLCID_SQL"
"IDESC.SOURCE","","","","","","","X","","8","$UC","Source/File","L","","","","","","","","","","","","","","I.DESC.LIST","LOGICAL.FILE.NAME","1","","","","","8L","","","","","","","","0","","","","","","D","Where this element can be found (usually a file name)","","","","","","","","","","","","","","","TOOLCID","IDESC_SOURCE","","0","1989-12-07","CONNIE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","TOOLCID_SQL"
"IMAGES.ID","","","","","","","K","","25","","","L","","","","","","","","","","","","","","","","0","","","","","25L","","","","","","","","25","","","","","","","SCREEN.IMAGES file key","","","","","","","","","","","","","","","SCREEN.IMAGES","","","0","1990-05-13","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0",""
"IMAGES.LINE.1","","","","","","","D","","132","","","L","","","","","","","","","","","","","","","","1","","","","","132L","","","","","","","","132","","","","","","","","","","","","","","","","","","","","","","SCREEN.IMAGES","","","0","1990-05-13","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0",""
"INDEX.ASSN.NAME","","","","","","","A","","20","$UC","","L","","","INDEX.LAST.NAME","","","","","","","","","CDDIDX","K","","","32","","","","","20L","","","","","","","","0","","","","","","","This field stores the target file name for Envision, indexing.","","","","","","","","","","","","","","","TOOLCDD","INDEX_ASSN_NAME","","0","1989-11-06","LARRY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","TOOLCDD_SQL"
"INDEX.ASSN.PLACEMENT","","","","","","","A","","18","$UC","","L","","","S.HASH.LAST.NAME","","","","","","","","","CDDIDX","D","","","34","","","","","18L","","","","","","","","0","","","","","","","Associated subroutine name used to determine the key, for the index record to be stored in INDEX.FILE.NAME.","","","","","","","","","","","","","","","TOOLCDD","INDEX_ASSN_PLACEMENT","","0","1989-11-06","LARRY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","TOOLCDD_SQL"
"INFORM.CONVERSION.STRING","","","","","","","D","","10","$UC","Conversion","L","","","MD02,$","","","","","","","","","","","","","8","","","","","10L","","","","","","","","14","","","","","","","String to be used on this element by BASIC and INFORM","","","I/OCONV","","","","","","","","","","","","TOOLCDD","INFORM_CONVERSION_STRING","","0","1987-08-21","RGH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","TOOLCDD_SQL"
"INFORM.FORMAT.STRING","","","","","","","D","","18","","Format Used","L","","","","","","","","","","","","","","","","7","","","","","18L","","","","","","","","0","","","","","","","The string to be used when formatting this element BAS/INFO","","","I/FORMAT","","","","","","","","","","","","TOOLCDD","INFORM_FORMAT_STRING","","0","1987-08-21","RGH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","TOOLCDD_SQL"
"INITIAL.EXTENT.SIZE","","","","","","N","D","N","7",":UT.INSERTS T_INPUT.IN.RANGE USING 1,999999:","Initial Extent Size","R","","","1075","N","","","Y","0","N","N","","","","","","143","","","","MD0,","7R","","","","","","","","6","","","","","","","To hold the size of the initial extent for an Oracle, object.","","","","","","","","","","","","","","","TOOLFILE","","","0","1999-07-09","DWC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0",""
"INPUT.PROMPT.LOCATION","","","","","","","D","","10","","","L","","","T","N","","","","","","","","","","","","85","","","","","10L","","","","","","","","1","","","","","","","Indicates where a field's prompt is relative to itself, Defaults to (L)eft.","","","","","","","","","","","","","","","TOOLCDD","INPUT_PROMPT_LOCATION","","0","1995-09-14","RGH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","$VR.PROMPT.LOCATIONS","0","TOOLCDD_SQL"
"INPUT.PROMPT.VARIABLE","","","","","","","D","","28","","","L","","","CITY.STATE.ZIP.PROMPT","N","","","","","","","","","","","","86","","","","","28L","","","","","","","","28","","","","","","","","","","","","","","","","","","","","","","TOOLCDD","INPUT_PROMPT_VARIABLE","","0","1995-09-14","RGH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","TOOLCDD_SQL"
"INQUIRY.PROCESS","","","","","","","D","N","1","$YN","Inquiry Process (Non-Updating)","L","","$YN","Y","N","","","","","","","","","","","","37","","","","","1L","","","","","","","","3","","","","","","","Y = Make all data fields display only","","","","","","","","","","","","","","","TOOLPDEF","INQUIRY_PROCESS","","0","1987-08-27","RGH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0","TOOLPDEF_SQL"
"INTERNAL.COMPUTATIONS","","","","","","","H","","72","","","L","","","BATCH.DATA=DATE()","","","","","","","","","","","","","49","","","","","72L","","","","","","","","72","","","","","","","Batch processes and possible computed fields on screens, may use calculations to develop data.  The batch processor, macro GET_VARIABLES uses the code here to develop a, computed value.  The result should be placed in, BATCH.DATA.  Insert modules are I_BATCH.<name>.","","","","","","","","","","","","","","","TOOLCDD","INTERNAL_COMPUTATIONS","","0","1989-02-02","RGH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","TOOLCDD_SQL"
"IT.COMMON.NAMES","","","","","","","D","","32","","","L","","","","","","","","","","","","","","","","16","","","","","32L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","INFO.TABLE","IT_COMMON_NAMES","","0","1992-12-17","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","INFO_TABLE_SQL"
"IT.COMMON.VARS","","","","","","","D","","32","","","L","","","","","","","","","","","","","","","","17","","","","","32L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","INFO.TABLE","IT_COMMON_VARS","","0","1992-12-17","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","INFO_TABLE_SQL"
"IT.CONSTANT.TABLE","","","","","","","D","","32","","","L","","","","","","","","","","","","","","","","2","","","","","32L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","INFO.TABLE","IT_CONSTANT_TABLE","","0","1992-12-17","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","INFO_TABLE_SQL"
"IT.DELETE.WHERE","","","","","","","A","","4","","","L","","","","","","","","","","","","IT.DELETE","D","","","29","","","","","4L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","INFO.TABLE","IT_DELETE_WHERE","","0","1993-01-21","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","INFO_TABLE_SQL"
"IT.DIMS","","","","","","","L","","32","","","L","","","B(10,10)}A(5)","","","","","","","","","","","","","32","","","","","32L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","INFO.TABLE","IT_DIMS","","0","1995-03-21","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","INFO_TABLE_SQL"
"IT.EQUATE.NAMES","","","","","","","D","","32","","","L","","","","","","","","","","","","","","","","13","","","","","32L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","INFO.TABLE","IT_EQUATE_NAMES","","0","1992-12-17","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","INFO_TABLE_SQL"
"IT.EQUATE.TYPES","","","","","","","D","","3","","","L","","","","","","","","","","","","","","","","14","","","","","3L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","INFO.TABLE","IT_EQUATE_TYPES","","0","1992-12-17","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","INFO_TABLE_SQL"
"IT.EQUATE.VALUES","","","","","","","D","","32","","","L","","","","","","","","","","","","","","","","15","","","","","32L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","INFO.TABLE","IT_EQUATE_VALUES","","0","1992-12-17","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","INFO_TABLE_SQL"
"IT.EXCEPTION.DETAILS","","","","","","","A","","40","","","L","","","1","","","","","","","","","IT.EXCEPTION.INFO","D","","","36","","","","","40L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","INFO.TABLE","IT_EXCEPTION_DETAILS","","0","1995-03-27","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","INFO_TABLE_SQL"
"IT.EXCEPTIONS","","","","","","","A","","32","","","L","","","1","","","","","","","","","IT.EXCEPTION.INFO","K","","","33","","","","","32L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","INFO.TABLE","IT_EXCEPTIONS","","0","1995-03-27","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","INFO_TABLE_SQL"
"IT.FILE.KEYS.DELETE","","","","","","","A","","32","","","L","","","","","","","","","","","","IT.DELETE","D","","","22","","","","","32L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","INFO.TABLE","IT_FILE_KEYS_DELETE","","0","1992-12-17","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","INFO_TABLE_SQL"
"IT.FILE.KEYS.OPEN","","","","","","","A","","32","","","L","","","","","","","","","","","","IT.OPEN","D","","","19","","","","","32L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","INFO.TABLE","IT_FILE_KEYS_OPEN","","0","1992-12-17","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","INFO_TABLE_SQL"
"IT.FILE.KEYS.READ","","","","","","","A","","32","","","L","","","","","","","","","","","","IT.READ","D","","","20","","","","","32L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","INFO.TABLE","IT_FILE_KEYS_READ","","0","1992-12-17","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","INFO_TABLE_SQL"
"IT.FILE.KEYS.WRITE","","","","","","","A","","32","","","L","","","","","","","","","","","","IT.WRITE","D","","","21","","","","","32L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","INFO.TABLE","IT_FILE_KEYS_WRITE","","0","1992-12-17","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","INFO_TABLE_SQL"
"IT.FILE.RECS.READ","","","","","","","A","","32","","","L","","","","","","","","","","","","IT.READ","D","","","5","","","","","32L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","INFO.TABLE","IT_FILE_RECS_READ","","0","1992-12-17","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","INFO_TABLE_SQL"
"IT.FILE.RECS.WRITE","","","","","","","A","","32","","","L","","","","","","","","","","","","IT.WRITE","D","","","6","","","","","32L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","INFO.TABLE","IT_FILE_RECS_WRITE","","0","1992-12-17","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","INFO_TABLE_SQL"
"IT.FILES.DELETE","","","","","","","A","","32","","","L","","","","","","","","","","","","IT.DELETE","K","","","10","","","","","32L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","INFO.TABLE","IT_FILES_DELETE","","0","1992-12-17","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","INFO_TABLE_SQL"
"IT.FILES.OPEN","","","","","","","A","","32","","","L","","","","","","","","","","","","IT.OPEN","K","","","7","","","","","32L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","INFO.TABLE","IT_FILES_OPEN","","0","1992-12-17","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","INFO_TABLE_SQL"
"IT.FILES.READ","","","","","","","A","","32","","","L","","","","","","","","","","","","IT.READ","K","","","8","","","","","32L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","INFO.TABLE","IT_FILES_READ","","0","1992-12-17","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","INFO_TABLE_SQL"
"IT.FILES.WRITE","","","","","","","A","","32","","","L","","","","","","","","","","","","IT.WRITE","K","","","9","","","","","32L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","INFO.TABLE","IT_FILES_WRITE","","0","1992-12-17","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","INFO_TABLE_SQL"
"IT.FROM.ASSIGNS","","","","","","","A","","32","","","L","","","","","","","","","","","","IT.ASSIGNS","D","","","25","","","","","32L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","INFO.TABLE","IT_FROM_ASSIGNS","","0","1993-01-18","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","INFO_TABLE_SQL"
"IT.GOSUBS","","","","","","","L","","32","","","L","","","ERROR.MESSAGE","","","","","","","","","","","","","30","","","","","32L","","","","","","","","0","","","","","","","Used to document use of GOSUB statements","","","","","","","","","","","","","","","INFO.TABLE","IT_GOSUBS","","0","1994-12-07","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","INFO_TABLE_SQL"
"IT.GOTOS","","","","","","","L","","32","","","L","","","ABORT.PROCESS","","","","","","","","","","","","","31","","","","","32L","","","","","","","","0","","","","","","","This is a list of GOTO labels used in the process","","","","","","","","","","","","","","","INFO.TABLE","IT_GOTOS","","0","1994-12-07","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","INFO_TABLE_SQL"
"IT.INSERTS.INCLUDED","","","","","","","D","","32","","","L","","","","","","","","","","","","","","","","4","","","","","32L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","INFO.TABLE","IT_INSERTS_INCLUDED","","0","1992-12-17","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","INFO_TABLE_SQL"
"IT.KEY","","","","","","","K","","64","","","L","","","","","","","","","","","","","","","","0","","","","","64L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","INFO.TABLE","IT_KEY","","0","1992-12-17","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","INFO_TABLE_SQL"
"IT.NEXT.STMT","","","","","","","D","","8","","","R","","","","","","","","","","","","","","","","18","","","","","8R","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","INFO.TABLE","IT_NEXT_STMT","","0","1992-12-17","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","INFO_TABLE_SQL"
"IT.OPEN.WHERE","","","","","","","A","","4","","","L","","","","","","","","","","","","IT.OPEN","D","","","26","","","","","4L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","INFO.TABLE","IT_OPEN_WHERE","","0","1993-01-21","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","INFO_TABLE_SQL"
"IT.READ.WHERE","","","","","","","A","","4","","","L","","","","","","","","","","","","IT.READ","D","","","27","","","","","4L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","INFO.TABLE","IT_READ_WHERE","","0","1993-01-21","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","INFO_TABLE_SQL"
"IT.REMOVE.VARS","","","","","","","A","","32","","","L","","","XL.LIST.VAR1","","","","","","","","","IT.REMOVE","K","","","34","","","","","32L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","INFO.TABLE","IT_REMOVE_VARS","","0","1995-03-27","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","INFO_TABLE_SQL"
"IT.RESET.VARS","","","","","","","A","","32","","","L","","","XL.LIST.VAR1","","","","","","","","","IT.REMOVE","D","","","35","","","","","32L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","INFO.TABLE","IT_RESET_VARS","","0","1995-03-27","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","INFO_TABLE_SQL"
"IT.SUBROUTINE.CALLS","","","","","","","A","","32","","","L","","","","","","","","","","","","IT.SUBS","K","","","3","","","","","32L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","INFO.TABLE","IT_SUBROUTINE_CALLS","","0","1992-12-17","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","INFO_TABLE_SQL"
"IT.SUBROUTINE.STATUS","","","","","","","A","","1","","","L","","","","","","","","","","","","IT.SUBS","D","","","23","","","","","1L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","INFO.TABLE","IT_SUBROUTINE_STATUS","","0","1992-12-17","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","INFO_TABLE_SQL"
"IT.SYMBOL.PIECES.GET","","","","","","","A","","64","","","L","","","","","","","","","","","","IT.SYMBOL","D","","","12","","","","","64L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","INFO.TABLE","IT_SYMBOL_PIECES_GET","","0","1992-12-22","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","INFO_TABLE_SQL"
"IT.SYMBOL.PIECES.SET","","","","","","","A","","64","","","L","","","","","","","","","","","","IT.SYMBOL","D","","","11","","","","","64L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","INFO.TABLE","IT_SYMBOL_PIECES_SET","","0","1992-12-17","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","INFO_TABLE_SQL"
"IT.SYMBOL.TABLE","","","","","","","A","","32","","","L","","","","","","","","","","","","IT.SYMBOL","K","","","1","","","","","32L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","INFO.TABLE","IT_SYMBOL_TABLE","","0","1992-12-17","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","INFO_TABLE_SQL"
"IT.TO.ASSIGNS","","","","","","","A","","32","","","L","","","","","","","","","","","","IT.ASSIGNS","K","","","24","","","","","32L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","INFO.TABLE","IT_TO_ASSIGNS","","0","1993-01-18","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","INFO_TABLE_SQL"
"IT.WRITE.WHERE","","","","","","","A","","4","","","L","","","","","","","","","","","","IT.WRITE","D","","","28","","","","","4L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","INFO.TABLE","IT_WRITE_WHERE","","0","1993-01-21","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","INFO_TABLE_SQL"
"JUST.PAD.CHARACTER","","","","","","","D","","1","","","L","","","*","","","","","","","","","","","","","54","","","","","1L","","","","","","","","1","","","","","","","Controls the PAD chr in FMT statements","","","","","","","","","","","","","","","TOOLCDD","JUST_PAD_CHARACTER","","0","1990-07-02","RGH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","0","TOOLCDD_SQL"
"KEY.COUNTER.SOURCE","","","","","","","D","","28","$UC","","L","","","""GL.ENTERED""","","","","","","","","","","","","","51","","","","","28L","","","","","","","","28","","","","","","","When a key is to be derived from an automatic counter,, the counter is kept in the file CONTROL.POINT.","","","","","","","","","","","","","","LBVTESTSNAP","TOOLCDD","KEY_COUNTER_SOURCE","","0","1988-07-29","RGH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0","TOOLCDD_SQL, TEST_4, TEST_7, 717RENVTEST, 717RENAMETEST, LBVTEST1, LBVTEST2"
"KEY.ELEMENT.NAME","","","","","","","K","","28","$UC","","L","","","","","","","","","","","","","","","","0","","","","","28L","","","","","","","","0","","","","","","","Name of an element which is a key","","","","","","","","","","","","","","","TOOLKEYS","KEY_ELEMENT_NAME","","0","1987-08-21","RGH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","TOOLKEYS_SQL, VWBR_LBV_33810_10873"
"KEY.FORMAT.STRING","","","","","","","D","","18","","Format Used","L","","","","","","","","","","","","","","","","7","","","","","18L","","","","","","","","0","","","","","","","The string to be used when formatting this element BAS/INFO","","","I/FORMAT","","","","","","","","","","","","TOOLKEYS","KEY_FORMAT_STRING","","0","1994-06-15","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","TOOLKEYS_SQL"
"KEY.JUSTIFICATION","","","","","","","D","","8","","Justification","L","","TRANSLATE ' '","","","","","","","","","","","","","","6","","","","","1L","","","","","","","","0","","","","","","","The field justification to be used on a screen","","","","","","","","","","","","","","","TOOLKEYS","KEY_JUSTIFICATION","","0","1994-04-28","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","$VR.JUSTIFICATION.TYPES","1","TOOLKEYS_SQL"
"KEY.LOOKUP.PROMPT","","","","","","","D","","32","","LookUp Prompt","L","","","Element LookUp","","","","","","","","","","","","","59","","","","","32L","","","","","","","","0","","","","","","","Every key data element that has a LookUp PROMPT_WIDE, can have a text string defined here to use for the prompt.","","","","","","","","","","","","","","","TOOLKEYS","KEY_LOOKUP_PROMPT","","0","1994-05-20","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","TOOLKEYS_SQL"
