"ids","Alternate Dictionaries ","Computed Column Code ","Converted From ","Data Element Synonym ","Data Element Synonym Xref ","Data Type ","Database Usage Type ","Default Display Secure ","Default Display Size ","Default Input Processing ","Default Input Prompt ","Default Justification ","Default Mask ","Default Output Processing ","Default Sample Data ","Default Zero Pad ","Derived Sec Ptr ","Displayed By Xref ","Dt1 ","Dt2 ","Dt3 ","Dt4 ","Dt5 ","Element Assoc Name ","Element Assoc Type ","Element Pointed From ","Element Pointed To ","Field Placement ","I Descriptor ","Index Assn Name ","Index Assn Placement ","Inform Conversion String ","Inform Format String ","Input Prompt Location ","Input Prompt Variable ","Internal Computations ","Just Pad Character ","Key Counter Source ","Logical File Alias ","Lookup Prompt ","Maximum Storage Size ","Modified By Xref ","Permanent Demand Elements ","Permanent Demand Keys ","Permanent Demand Write ","Permanent Init Inserts ","Pointer Deletion Strategy ","Purpose ","Relation File Name ","Relfile Keybuild Strategy ","Report Header ","Sce From Files ","Sce Link Attrs ","Sce Link Subrs ","Sce Recalc Flag Field ","Sce Status Flag ","Sce Subr Args ","Sce Subr Name ","Sce Subr Sources ","Sce To Files ","Sce Trigger Cdds ","Snapshots ","Source ","Sql Compliant Name ","Synonym Field Delimiter ","Synonym Field Position ","Toolcdd Add Date ","Toolcdd Add Operator ","Toolcdd Auto Xref Files ","Toolcdd Auto Xref Keys ","Toolcdd Change Date ","Toolcdd Change Operator ","Toolcdd Demand Subrs ","Toolcdd Dict Changed Ver ","Toolcdd Idesc Smtype ","Toolcdd Lkup Add Mode ","Toolcdd Lkup Arg Var ","Toolcdd Lkup Attr Table ","Toolcdd Lkup Crnt Id Var ","Toolcdd Lkup File Inherit ","Toolcdd Lkup File Name ","Toolcdd Lkup Id List Var ","Toolcdd Lkup Limit New Size ","Toolcdd Lkup Nk Add Option ","Toolcdd Lkup Nk At Once ","Toolcdd Lkup Not Found Hook ","Toolcdd Lkup Post Reso Hook ","Toolcdd Lkup Pre Reso Hook ","Toolcdd Lkup Prompt Text ","Toolcdd Lkup Rec Add Hook ","Toolcdd Lkup Rec Found Hook ","Toolcdd Lkup Reso Hook ","Toolcdd Lkup Sel Conn ","Toolcdd Lkup Sel Field ","Toolcdd Lkup Sel Rel Opcode ","Toolcdd Lkup Sel Stmt ","Toolcdd Lkup Sel Value ","Toolcdd Lkup Sort Fields ","Toolcdd Lkup Sort Order ","Toolcdd Valid Platforms ","Truncation Flag ","Validation Table ","Validation Zero Fill Size ","Views "
"PGEN.SELECT.VALUE","","","","","","","A","","25","X.CALL.HEADER = V.PROCESS.NAME:"" List Spec Fields"", , X.CALL.TITLE = ""Element Name"", X.CALL.JUST = ""L"", X.CALL.LGTH = 22, X.CALL.CONV = """", , X.ORIG.LIST = VL.PROCESS.DATA.ELEMENTS, X.DESC2 = '', X.DESC3 = '', X.DESC4 = '', , COMMAND = EDITED.DATA, X.EDITED.DATA = '', CALL S.INPT.LIST.LKUP(X.EDITED.DATA,X.CALL.HEADER,X.CALL.TITLE,X.CALL.JUST,X.CALL.LGTH,X.CALL.CONV,X.ORIG.LIST,X.DESC2,X.DESC3,X.DESC4,SCREEN.REFRESH,COMMAND,ERROR.OCCURRED,MSG), IF LOOKUP.COMMAND NE CMD.CA THEN,    IF NUM(X.EDITED.DATA) THEN,       EDITED.DATA = VL.PROCESS.DATA.ELEMENTS<1,X.EDITED.DATA>,    END ELSE,  IF INDEX(EDITED.DATA, ""..."", 1) = 0 AND TRIMF(EDITED.DATA[1,1]) # "";"" THEN,     ERROR.OCCURRED = 1,     $IF UNIDATA|MSWIN THEN,        MSG = ""The Parameter "":EDITED.DATA:"" is NOT defined."",     $END,       END ELSE,     X.REPROMPT = 1,  END,    END, END","","L","","OUTPUT.DATA = V.PGEN.SELECT.VALUE, CONVERT SVM.CHR:@SM TO ""; ;"" IN OUTPUT.DATA","ABC","N","","","","","","","","PGENSEL","D","","","215","","","","","25L","","","","","","","","25","","","","","","","Enter the valu(s) to be used for the selection of this, data field. Multiple values (sub-values) may be entered, through the use of the DETAIL key or by separating the, values with a Semi-Colon.","","","","","","","","","","","","","","","PGENPDEF","PGEN_SELECT_VALUE","","0","1997-03-16","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","PGENPDEF_SQL"
"PGEN.SHORT.DESCRIPTION","","","","","","","D","","29","","","L","","$CENTER","","N","","","","","","","","","","","","64","","","","","29L","","","","","","","","39","","","","","","","Description of process suitable for display on a menu","","","","","","","","","","","","","","","PGENPDEF","PGEN_SHORT_DESCRIPTION","","0","1989-12-07","CONNIE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","PGENPDEF_SQL"
"PGEN.SORT.FIELD","","","","","","","A","","25","SELECT.ID.LIST = VL.PGEN.SORTABLE.FIELDS, CONVERT @FM:@IM TO @VM:@VM IN SELECT.ID.LIST, LKUP.FILE = ""DICT "":V.PGEN.FNAME, ADD.MODE.ALLOWED = 0, LKUP.ATTR = 1:@FM:2, LKUP.ATTR<3> = 30:@FM:15, LKUP.ATTR<4> = ""Type Description"":@FM:""Attr/IDESC"", LKUP.ATTR<5> = 20, LKUP.ATTR<6> = ""Sortable Fields"", $SEL.ID.LOOKUP, * ------ error checking goes here, IF LKUP.RETURN.CODE LT 0 THEN,    MSG = ""Field must be defined as a Valid Sort Field"",    ERROR.OCCURRED = 1, END","Field Name","L","","","DEPT","","","","","","","","","PGENSORT","K","","","216","","","","","25L","","","","","","","","25","","","","","","","Dictionary name of the field to be sorted","","","","","","","","","","","","","","","PGENPDEF","PGEN_SORT_FIELD","","0","1997-03-16","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","PGENPDEF_SQL"
"PGEN.SORT.MODIFY","","","","","","","D","","3","$YN","Allow ... Modify Sort/Break Criteria?","L","","$YN","Y","","","","","","","","","","","","","222","","","","","3L","","","","","","","","1","","","","","","","Yes/No Flag: If the User, at Procedure Generation time,, may modify these Sort Specifications, then the Flag must, be set to ""Y""","","","","","","","","","","","","","","","PGENPDEF","PGEN_SORT_MODIFY","","0","1997-03-16","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","PGENPDEF_SQL"
"PGEN.SORT.ORDER","","","","","","","A","","20","$UC","Sort Sequence","L","","","ascending","","","","","","","","","PGENSORT","D","","","217","","","","","20L","","","","","","","","10","","","","","","","Valid INFORM(tm) sort order (CODED)","","","","","","","","","","","","","","","PGENPDEF","PGEN_SORT_ORDER","","0","1997-03-16","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","$VR.QBE.SORT.MODIFIERS","0","PGENPDEF_SQL"
"PGEN.SORT.REQUIRED","","","","","","","A","","3","$YN","Is this a Required Sort Field?","L","","$YN","Y||","","","","","","","","","PGNSFLDS","D","","","219","","","","","3L","","","","","","","","1","","","","","","","Yes/No Flag: If the associated Sortable field is required, for sorting purposes this flag must be set to ""Y""","","","","","","","","","","","","","","","PGENPDEF","PGEN_SORT_REQUIRED","","0","1997-03-16","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","PGENPDEF_SQL"
"PGEN.SORTABLE.FIELDS","","","","","","","A","","20","IF LEN(EDITED.DATA) THEN,    IF LEN(V.PGEN.FNAME) THEN,  UDLFILE = V.PGEN.FNAME,       X.DICT.TYPES = ""DI"", $DICT.LOOKUP,       IF DICT.RETURN.CODE LT 0 THEN,     MSG = ""Field must be defined to the "":V.PGEN.FNAME:"" Dictionary"",     ERROR.OCCURRED = 1,  END,    END ELSE,       MSG='Please define a file before asking for sort criteria',       ERROR.OCCURRED=1,    END, END","Available Sort Fields","L","","","UNIT","","","","","","","","","PGNSFLDS","K","","","218","","","","","20L","","","","","","","","20","","","","","","","List of fields that may be sorted","","","","","","","","","","","","","","","PGENPDEF","PGEN_SORTABLE_FIELDS","","0","1997-03-16","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","PGENPDEF_SQL"
"PGENPDEF.ADD.DATE","","","","","","D","D","","8","","Add Date","R","","","07/07/93","","","","N","2","/","","","","","","","13","","","","D2/","8R","","","","","","","","0","","","","","","","Date this process was first defined","","","Created","","","","","","","","","","","","PGENPDEF","PGENPDEF_ADD_DATE","","0","1989-08-28","SKIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","PGENPDEF_SQL"
"PGENPDEF.ADD.OPERATOR","","","","","","","D","","8","$UC","","L","","","","","","","","","","","","","","","","14","","","","","8L","","","","","","","","0","","","","","","","ID of operator who created this process","","","","","","","","","","","","","","","PGENPDEF","PGENPDEF_ADD_OPERATOR","","0","1989-08-28","SKIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","PGENPDEF_SQL"
"PGENPDEF.CHANGE.DATE","","","","","","D","D","","8","","","R","","OUTPUT.DATA=V.TOOLPDEF.CHANGE.DATE<1,1,1>, OUTPUT.DATA=OCONV(OUTPUT.DATA,SN.DATE2)","08/08/88","","","","N","2","/","","","","","","","50","","","","D2/","8R","","","","","","","","0","","","","","","","Date this process record was last modified","","","ChangedOn","","","","","","","","","","","","PGENPDEF","PGENPDEF_CHANGE_DATE","","0","1989-08-28","SKIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","PGENPDEF_SQL"
"PGENPDEF.CHANGE.OPERATOR","","","","","","","D","","8","$UC","","L","","OUTPUT.DATA=OUTPUT.DATA<1,1,1>","","","","","","","","","","","","","","49","","","","","8L","","","","","","","","0","","","","","","","Logon ID of the person who last made changes to this proc","","","ChangedBy","","","","","","","","","","","","PGENPDEF","PGENPDEF_CHANGE_OPERATOR","","0","1989-08-28","SKIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","PGENPDEF_SQL"
"PGENPDEF.ID","","","","","","","K","","32","","Procedure Lookup","L","","","BCGB","N","","","","","","","","","","","","0","","","","","32L","","","","","","","","32","","","","","","","","","","","","","","","","","","","","","","PGENPDEF","PGENPDEF_ID","","0","1989-12-07","CONNIE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","PGENPDEF_SQL"
"PHYSFILE.DATA.CREATE.REMOTE","","","","","","","D","","6","","","L","","","DATA_A","","","","","","","","","","","","","61","","","","","6L","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","PHYSFILE","PHYSFILE_DATA_CREATE_REMOTE","","0","1993-02-25","CT7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","PHYSFILE_SQL"
"PHYSFILE.DATA.RTYPE","","","","","","","D","","2","","","L","","","AS","","","","","","","","","","","","","70","","","","","2L","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","PHYSFILE","PHYSFILE_DATA_RTYPE","","0","1993-02-25","CT7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","PHYSFILE_SQL"
"PHYSFILE.DICT.CREATE.REMOTE","","","","","","","D","","6","","","L","","","DATA_A","","","","","","","","","","","","","62","","","","","6L","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","PHYSFILE","PHYSFILE_DICT_CREATE_REMOTE","","0","1993-02-25","CT7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","PHYSFILE_SQL"
"PHYSFILE.DICT.RTYPE","","","","","","","D","","2","","","L","","","AS","","","","","","","","","","","","","71","","","","","2L","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","PHYSFILE","PHYSFILE_DICT_RTYPE","","0","1993-02-25","CT7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","PHYSFILE_SQL"
