"DATA.ELEMENT","COMPUTED.COLUMN.CODE","CONVERTED.FROM","DATA.TYPE","DATABASE.USAGE.TYPE","DEFAULT.DISPLAY.SECURE","DEFAULT.DISPLAY.SIZE","DEFAULT.INPUT.PROMPT","DEFAULT.SAMPLE.DATA","DEFAULT.ZERO.PAD","DERIVED.SEC.PTR","DT1","DT2","DT3","DT4","DT5","ELEMENT.ASSOC.NAME","ELEMENT.ASSOC.TYPE","ELEMENT.POINTED.FROM","ELEMENT.POINTED.TO","FIELD.PLACEMENT","INFORM.CONVERSION.STRING","INFORM.FORMAT.STRING","MAXIMUM.STORAGE.SIZE","PURPOSE","REPORT.HEADER","SOURCE","TRUNCATION.FLAG","VALIDATION.TABLE","TOOLCDD.ADD.DATE","TOOLCDD.ADD.OPERATOR","TOOLCDD.CHANGE.DATE","TOOLCDD.CHANGE.OPERATOR","DataDatetime"
"APPLPRM.DICT.REMOTE","","","","D","","20","","","","","","","","","","","","","","7","","20L","20","Account specific default where the applications, dictionaries should be created","","APPLPRM","","","1990-04-18","ALEX","","","2020-06-01T17:13:41.436Z"
"APPLPRM.ENTRY.PROC","","","","D","","30","","","","","","","","","","","","","","5","","30L","30","This cataloged subroutine will be execute before the, application starts","","APPLPRM","","","1990-04-18","ALEX","","","2020-06-01T17:13:41.404Z"
"APPLPRM.EXIT.PROC","","","","D","","30","","","","","","","","","","","","","","8","","30L","30","This cataloged subroutine will be run immediately after, the application completes and exits","","APPLPRM","","","1990-04-18","ALEX","","","2020-06-01T17:13:41.982Z"
"APPLPRM.HIERARCHY","","","","L","","4","","","","","","","","","","","","","","3","","4L","4","The application chain from this application to UT.","","APPLPRM","","","1990-04-18","ALEX","","","2020-06-01T17:13:41.467Z"
"APPLPRM.KEY","","","","K","","11","","","","","","","","","","","","","","0","","11L","11","key APPLICATION to applprm logical file.","","APPLPRM","N","","1990-04-19","STEVEN","","","2020-06-01T17:13:41.514Z"
"APPLPRM.LONG.NAME","","","","D","","20","","","","","","","","","","","","","","1","","20L","20","Descriptive name of an application.","","APPLPRM","","","1990-04-18","ALEX","","","2020-06-01T17:13:41.732Z"
"APPLPRM.MODULES","","","","L","","4","","BGT","","","","","","","","","","","","4","","4L","4","This is the master list of valid modules for the, application.","","APPLPRM","","","1990-04-18","ALEX","","","2020-06-01T17:13:41.811Z"
"APPLPRM.VERSION","","","","D","","5","","10.0","","","","","","","","","","","","2","","5L","5","Enter the current release version number of the, application.","","APPLPRM","","","1990-04-18","ALEX","","","2020-06-01T17:13:41.842Z"
"ASSIGN.COUNT","string xResult1; , string xResult2; , xResult1 = SLocateAssocElement(""ASSIGN"", (vlScrcioRdotReason).ToDelimitedString((253).Char()));, if (((real)xResult1) > 0) {,  xResult2 = vlScrcioRdotCount[((int)xResult1)];, } else {,  xResult2 = ((string)0);, }, return xResult2;","","","I","","4","","","","","","","","","","","","","","0","","4R","0","Displays the number of assignment to RDOTs.","ASSIGN Count","SCAN.CODE.RESULTS","","","2003-04-29","TXE","","","2020-06-01T17:13:41.967Z"
"ASSOC.CONVERTED.FROM","","","","D","N","15","","GLSUBFL","N","","","","","","","","","","","84","","15L","0","For non-EBS associations, the name of the association, in its original file (for Classic Colleague)","","TOOLFILE","N","","1992-08-28","RGH","","","2020-06-01T17:13:41.795Z"
"ASSOC.FLAG","","","","D","","1","","","","","","","","","","","","","","3","","1L","0","(Always 'A' to signal that this is an ASSOC (subfile) descr","","TOOLASSN","","","1987-10-08","RGH","","","2020-06-01T17:13:41.873Z"
"ASSOC.LONG.NAME","","","","D","","28","","","","","","","","","","","","","","1","","28L","0","Long name for this subfile","","TOOLASSN","","","1987-10-08","RGH","","","2020-06-01T17:13:41.826Z"
"ASSOC.PURPOSE","","","","L","","70","Description","","","","","","","","","","","","","2","","70L","0","Description of the purpose for this subfile","","TOOLASSN","","","1987-10-08","RGH","","","2020-06-01T17:13:41.342Z"
"ASSOCIATED.COFILES","","","","L","N","32","Associated Cofiles","FACULTY","N","","","","","","","","","","","89","","32L","20","","","TOOLFILE","N","","1995-02-07","RGH","","","2020-06-01T17:13:41.576Z"
"ASSOCIATION.CONTROLLER","","","","D","","28","Controlling Element","","","","","","","","","","","","","12","","28L","0","Data element to be used as controller to this assoc (opt)","","TOOLASSN","","","1987-10-08","RGH","","","2020-06-01T17:13:41.857Z"
"ASSOCIATION.DIRECTION","","","","D","","25","Default Association Direction","AL Ascending Left","","","","","","","","","","","","43","","25L","2","This the default sort order for an association: AL, DR,, AR, DL.","","TOOLASSN","Y","$VR.ASSOCIATION.DIRECTIONS","1989-12-13","RGH","","","2020-06-01T17:13:42.076Z"
"ASSOCIATION.IDESCS","","","","L","","12","Associated Virtual Fields","MVASSOC","","","","","","","","","","","","34","","12L","12","List of virtual fields declared for an association","","TOOLASSN","","","1991-02-11","RGH","","","2020-06-01T17:13:41.701Z"
"ASSOCIATION.LIMIT","","","N","D","","4","","10","","","N","0","N","N","","","","","","76","MD0","4R","4","If you wish to limit the number of associations stored, you may indicate that value here.  For example if you, have date/operator stamping that is an assocation you, may wish to limit it to prevent the list from getting, extremely large.","","TOOLASSN","","","1991-01-23","ALEX","","","2020-06-01T17:13:41.420Z"
"ASSOCIATION.MEMBERS","","","","L","","28","Associated Data Elements","GEN.LEDGER.FIELD","","","","","","","","","","","","10","","28L","0","List of the DATA.ELEMENTS present in this subfile (assn)","","TOOLASSN","","","1987-10-08","RGH","","","2020-06-01T17:13:41.576Z"
"ASSOCIATION.MODULE.LIST","","","","L","","25","Release Modules","GL","","","","","","","","","","","","38","","25L","6","This is a list of the modules in which this file appears., It is used during release to determine the HELP, RFSPECS,, and CREATE.FILE paragraph contents.","","TOOLASSN","","$VR.ALL.MODULES","1991-01-21","ALEX","","","2020-06-01T17:13:41.732Z"
"ASSOCIATION.NAME","","","","K","","20","Sub-file LookUp","PRCSWNDW","N","","","","","","","","","","","0","","20L","20","Name of an association or subfile","","TOOLASSN","N","","1987-11-06","RGH","","","2020-06-01T17:13:42.061Z"
"ASSOCIATION.PHYSICAL.FILE","","","","D","","25","Association's Host File","","","","","","","","","","","","","8","","25L","25","File (dictionary) in which this ASSOC is defined","","TOOLASSN","N","","1987-10-08","RGH","","","2020-06-01T17:13:41.373Z"
"ASSOCIATION.STATUS","","","","D","","20","Release Status","Releasable","","","","","","","","","","","","39","","20L","1","This field determines whether a file is to be, included on release tapes.","File Status","TOOLASSN","N","$VR.PROCESS.STATUSES","2004-01-29","TLG","","","2020-06-01T17:13:41.639Z"
"ATGENSDF.DATA","","","","D","","32","","","","","","","","","","","","","","1","","32L","0","","","ATGENSDF","","","1993-08-10","ALEX","","","2020-06-01T17:13:41.982Z"
